Rank,Company,Sector,Industry,Location,Employees,Revenue,Profits,Change in Rank
1,Walmart,Retailing,General Merchandisers,"Bentonville, AR",2100000,648125.0,15511.0,0.0
2,Amazon,Retailing,Internet Services and Retailing,"Seattle, WA",1525000,574785.0,30425.0,0.0
3,Apple,Technology,"Computers, Office Equipment","Cupertino, CA",161000,383285.0,96995.0,1.0
4,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",440000,371622.0,22381.0,1.0
5,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",396500,364482.0,96223.0,2.0
6,CVS Health,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",259500,357776.0,8344.0,0.0
7,Exxon Mobil,Energy,Petroleum Refining,"Spring, TX",61500,344582.0,36010.0,-4.0
8,Alphabet,Technology,Internet Services and Retailing,"Mountain View, CA",182502,307394.0,73795.0,0.0
9,McKesson,Health Care,Wholesalers: Health Care,"Irving, TX",48000,276711.0,3560.0,0.0
10,Cencora,Health Care,Wholesalers: Health Care,"Conshohocken, PA",44000,262173.4,1745.3,1.0
11,Costco Wholesale,Retailing,General Merchandisers,"Issaquah, WA",316000,242290.0,6292.0,1.0
12,JPMorgan Chase,Financials,Commercial Banks,"New York, NY",309926,239425.0,49552.0,11.0
13,Microsoft,Technology,Computer Software,"Redmond, WA",221000,211915.0,72361.0,0.0
14,Cardinal Health,Health Care,Wholesalers: Health Care,"Dublin, OH",47520,205012.0,261.0,0.0
15,Chevron,Energy,Petroleum Refining,"San Ramon, CA",45600,200949.0,21369.0,-5.0
16,Cigna,Health Care,Health Care: Pharmacy and Other Services,"Bloomfield, CT",71413,195265.0,5164.0,-1.0
17,Ford Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,"Dearborn, MI",177000,176191.0,4347.0,2.0
18,Bank of America,Financials,Commercial Banks,"Charlotte, NC",212985,171912.0,26515.0,14.0
19,General Motors,Motor Vehicles & Parts,Motor Vehicles & Parts,"Detroit, MI",163000,171842.0,10127.0,2.0
20,Elevance Health,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",104900,171340.0,5987.0,2.0
21,Citigroup,Financials,Commercial Banks,"New York, NY",237925,156820.0,9228.0,15.0
22,Centene,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO",67700,153999.0,2702.0,3.0
23,Home Depot,Retailing,Specialty Retailers: Other,"Atlanta, GA",463100,152669.0,15143.0,-3.0
24,Marathon Petroleum,Energy,Petroleum Refining,"Findlay, OH",18200,150307.0,9681.0,-8.0
25,Kroger,Food & Drug Stores,Food & Drug Stores,"Cincinnati, OH",414000,150039.0,2164.0,-1.0
26,Phillips 66,Energy,Petroleum Refining,"Houston, TX",14000,149890.0,7015.0,-9.0
27,Fannie Mae,Financials,Diversified Financials,"Washington, Unknown",8100,141240.0,17408.0,1.0
28,Walgreens Boots Alliance,Food & Drug Stores,Food & Drug Stores,"Deerfield, IL",268500,139081.0,-3080.0,-1.0
29,Valero Energy,Energy,Petroleum Refining,"San Antonio, TX",9897,139001.0,8835.0,-11.0
30,Meta Platforms,Technology,Internet Services and Retailing,"Menlo Park, CA",67317,134902.0,39098.0,1.0
31,Verizon Communications,Telecommunications,Telecommunications,"New York, NY",105400,133974.0,11614.0,-5.0
32,AT&T,Telecommunications,Telecommunications,"Dallas, TX",150470,122428.0,14400.0,-2.0
33,Comcast,Telecommunications,Telecommunications,"Philadelphia, PA",186000,121572.0,15388.0,-4.0
34,Wells Fargo,Financials,Commercial Banks,"San Francisco, CA",226000,115340.0,19142.0,13.0
35,Goldman Sachs Group,Financials,Commercial Banks,"New York, NY",45300,108418.0,8516.0,20.0
36,Freddie Mac,Financials,Diversified Financials,"McLean, VA",8020,108050.0,10538.0,9.0
37,Target,Retailing,General Merchandisers,"Minneapolis, MN",415000,107412.0,4138.0,-4.0
38,Humana,Health Care,Health Care: Insurance and Managed Care,"Louisville, KY",67600,106374.0,2489.0,4.0
39,State Farm Insurance,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",65054,104198.6,-6272.3,5.0
40,Tesla,Motor Vehicles & Parts,Motor Vehicles & Parts,"Austin, TX",140473,96773.0,14997.0,10.0
41,Morgan Stanley,Financials,Commercial Banks,"New York, NY",80006,96194.0,9087.0,20.0
42,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, NJ",131900,95195.0,35153.0,-2.0
43,Archer Daniels Midland,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",41008,93935.0,3483.0,-8.0
44,PepsiCo,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",318000,91471.0,9074.0,2.0
45,United Parcel Service,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA",382550,90958.0,6708.0,-8.0
46,FedEx,Transportation,"Mail, Package, and Freight Delivery","Memphis, TN",446400,90155.0,3972.0,-5.0
47,Walt Disney,Media,Entertainment,"Burbank, CA",199125,88898.0,2354.0,1.0
48,Dell Technologies,Technology,"Computers, Office Equipment","Round Rock, TX",120000,88425.0,3211.0,-14.0
49,Lowe's,Retailing,Specialty Retailers: Other,"Mooresville, NC",226000,86377.0,7726.0,-10.0
50,Procter & Gamble,Household Products,Household and Personal Products,"Cincinnati, OH",107000,82006.0,14653.0,1.0
51,Energy Transfer,Energy,Pipelines,"Dallas, TX",13786,78586.0,3935.0,-8.0
52,Boeing,Aerospace & Defense,Aerospace & Defense,"Arlington, VA",171000,77794.0,-2222.0,6.0
53,Albertsons,Food & Drug Stores,Food & Drug Stores,"Boise, ID",198650,77649.7,1513.5,0.0
54,Sysco,Wholesalers,Wholesalers: Food and Grocery,"Houston, TX",71750,76324.7,1770.1,2.0
55,RTX,Aerospace & Defense,Aerospace & Defense,"Arlington, VA",185000,68920.0,3195.0,2.0
56,General Electric,Industrials,Industrial Machinery,"Boston, MA",125000,67954.0,9481.0,-4.0
57,Lockheed Martin,Aerospace & Defense,Aerospace & Defense,"Bethesda, MD",122000,67571.0,6920.0,3.0
58,American Express,Financials,Diversified Financials,"New York, NY",74600,67364.0,8374.0,19.0
59,Caterpillar,Industrials,Construction and Farm Machinery,"Irving, TX",113200,67060.0,10335.0,9.0
60,MetLife,Financials,"Insurance: Life, Health (stock)","New York, NY",45000,66905.0,1578.0,-6.0
61,HCA Healthcare,Health Care,Health Care: Medical Facilities,"Nashville, TN",265000,64968.0,5242.0,5.0
62,Progressive,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",61432,62108.5,3902.4,26.0
63,IBM,Technology,Information Technology Services,"Armonk, NY",296600,61860.0,7502.0,2.0
64,Deere,Industrials,Construction and Farm Machinery,"Moline, IL",82956,61251.0,10166.0,17.0
65,Nvidia,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",29600,60922.0,29760.0,87.0
66,StoneX Group,Financials,Diversified Financials,"New York, NY",4137,60856.1,238.5,-7.0
67,Merck,Health Care,Pharmaceuticals,"Rahway, NJ",71000,60115.0,365.0,2.0
68,ConocoPhillips,Energy,"Mining, Crude-Oil Production","Houston, TX",9900,58574.0,10957.0,-19.0
69,Pfizer,Health Care,Pharmaceuticals,"New York, NY",88000,58496.0,2119.0,-31.0
70,Delta Air Lines,Transportation,Airlines,"Atlanta, GA",103000,58048.0,4609.0,15.0
71,TD Synnex,Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, CA",28000,57555.4,626.9,-7.0
72,Publix Super Markets,Food & Drug Stores,Food & Drug Stores,"Lakeland, FL",253000,57534.0,4349.0,6.0
73,Allstate,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",53200,57094.0,-188.0,11.0
74,Cisco Systems,Technology,Network and Other Communications Equipment,"San Jose, CA",84900,56998.0,12613.0,8.0
75,Nationwide,Financials,Insurance: Property and Casualty (Mutual),"Columbus, OH",24118,54609.4,-45.2,8.0
76,Charter Communications,Telecommunications,Telecommunications,"Stamford, CT",101100,54607.0,4557.0,3.0
77,AbbVie,Health Care,Pharmaceuticals,"North Chicago, IL",50000,54318.0,4863.0,-4.0
78,New York Life Insurance,Financials,"Insurance: Life, Health (Mutual)","New York, NY",15384,54317.2,804.6,-7.0
79,Intel,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",124800,54228.0,1689.0,-17.0
80,TJX,Retailing,Specialty Retailers: Apparel,"Framingham, MA",349000,54217.0,4474.0,7.0
81,Prudential Financial,Financials,"Insurance: Life, Health (stock)","Newark, NJ",40366,53979.0,2488.0,-14.0
82,HP,Technology,"Computers, Office Equipment","Palo Alto, CA",58000,53718.0,3263.0,-19.0
83,United Airlines Holdings,Transportation,Airlines,"Chicago, IL",103300,53717.0,2618.0,13.0
84,Performance Food Group,Wholesalers,Wholesalers: Food and Grocery,"Richmond, VA",34825,53354.7,397.2,7.0
85,Tyson Foods,"Food, Beverages & Tobacco",Food Production,"Springdale, AR",139000,52881.0,-648.0,-5.0
86,American Airlines Group,Transportation,Airlines,"Fort Worth, TX",132100,52788.0,822.0,3.0
87,Liberty Mutual Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Boston, MA",45000,52612.0,213.0,-1.0
88,Nike,Apparel,Apparel,"Beaverton, OR",83700,51217.0,5070.0,5.0
89,Oracle,Technology,Computer Software,"Austin, TX",164000,49954.0,8503.0,12.0
90,Enterprise Products Partners,Energy,Pipelines,"Houston, TX",7500,49715.0,5532.0,-18.0
91,Capital One Financial,Financials,Commercial Banks,"McLean, VA",51987,49484.0,4887.0,15.0
92,Plains GP Holdings,Energy,Pipelines,"Houston, TX",4200,48712.0,198.0,-18.0
93,World Kinect,Energy,Energy,"Miami, FL",5289,47710.6,52.9,-23.0
94,AIG,Financials,Insurance: Property and Casualty (Stock),"New York, NY",25200,46802.0,3643.0,-18.0
95,Coca-Cola,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA",79100,45754.0,10714.0,5.0
96,TIAA,Financials,"Insurance: Life, Health (Mutual)","New York, NY",16023,45734.8,-1408.9,7.0
97,CHS,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",10609,45590.0,1900.4,-7.0
98,Bristol-Myers Squibb,Health Care,Pharmaceuticals,"Princeton, NJ",34100,45006.0,8025.0,-3.0
99,Dow,Chemicals,Chemicals,"Midland, MI",35900,44622.0,589.0,-24.0
100,Best Buy,Retailing,Specialty Retailers: Other,"Richfield, MN",85000,43452.0,1241.0,-6.0
101,Thermo Fisher Scientific,Technology,"Scientific,Photographic and  Control Equipment","Waltham, MA",122000,42857.0,5995.0,-4.0
102,Massachusetts Mutual Life Insurance,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA",11323,42641.4,-771.6,2.0
103,USAA,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX",37376,42493.4,1213.5,11.0
104,General Dynamics,Aerospace & Defense,Aerospace & Defense,"Reston, VA",111600,42272.0,3315.0,1.0
105,Travelers,Financials,Insurance: Property and Casualty (Stock),"New York, NY",33133,41364.0,2991.0,7.0
106,Warner Bros. Discovery,Media,Entertainment,"New York, NY",35300,41321.0,-3126.0,12.0
107,U.S. Bancorp,Financials,Commercial Banks,"Minneapolis, MN",75465,40624.0,5429.0,42.0
108,Abbott Laboratories,Health Care,Medical Products and Equipment,"Abbott Park, IL",114000,40109.0,5723.0,-9.0
109,Northrop Grumman,Aerospace & Defense,Aerospace & Defense,"Falls Church, VA",101000,39290.0,2056.0,4.0
110,Northwestern Mutual,Financials,"Insurance: Life, Health (Mutual)","Milwaukee, WI",8239,38788.1,711.4,1.0
111,Dollar General,Retailing,Specialty Retailers: Other,"Goodlettsville, TN",185800,38691.6,1661.3,-3.0
112,PBF Energy,Energy,Petroleum Refining,"Parsippany, NJ",3776,38324.8,2140.5,-20.0
113,Uber Technologies,Technology,Internet Services and Retailing,"San Francisco, CA",30400,37281.0,1887.0,14.0
114,Honeywell International,Industrials,Industrial Machinery,"Charlotte, NC",95000,36662.0,5658.0,1.0
115,Mondelez International,"Food, Beverages & Tobacco",Food Consumer Products,"Chicago, IL",91000,36016.0,4959.0,16.0
116,Starbucks,"Hotels, Restaurants & Leisure",Food Services,"Seattle, WA",381000,35975.6,4124.5,9.0
117,Qualcomm,Technology,Semiconductors and Other Electronic Components,"San Diego, CA",50000,35820.0,7232.0,-19.0
118,Broadcom,Technology,Semiconductors and Other Electronic Components,"Palo Alto, CA",20000,35819.0,14082.0,5.0
119,US Foods Holding,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, IL",30000,35597.0,506.0,-2.0
120,D.R. Horton,Engineering & Construction,Homebuilders,"Arlington, TX",13450,35460.4,4745.7,0.0
121,Philip Morris International,"Food, Beverages & Tobacco",Tobacco,"Stamford, CT",82700,35174.0,7813.0,7.0
122,Paccar,Motor Vehicles & Parts,Motor Vehicles & Parts,"Bellevue, WA",32400,35127.4,4600.8,18.0
123,Salesforce,Technology,Computer Software,"San Francisco, CA",72682,34857.0,4136.0,10.0
124,Nucor,Materials,Metals,"Charlotte, NC",32000,34713.5,4524.8,-22.0
125,Jabil,Technology,Semiconductors and Other Electronic Components,"St. Petersburg, FL",236000,34702.0,818.0,-4.0
126,Lennar,Engineering & Construction,Homebuilders,"Miami, FL",12284,34233.4,3938.5,-7.0
127,Eli Lilly,Health Care,Pharmaceuticals,"Indianapolis, IN",43000,34124.1,5240.4,15.0
128,Molina Healthcare,Health Care,Health Care: Insurance and Managed Care,"Long Beach, CA",18000,34072.0,1091.0,-2.0
129,Cummins,Industrials,Industrial Machinery,"Columbus, IN",75500,34065.0,735.0,17.0
130,Bank of New York Mellon,Financials,Commercial Banks,"New York, NY",53400,33805.0,3286.0,71.0
131,Netflix,Media,Entertainment,"Los Gatos, CA",13000,33723.3,5408.0,-2.0
132,Truist Financial,Financials,Commercial Banks,"Charlotte, NC",49935,33246.0,-1091.0,25.0
133,Arrow Electronics,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",22100,33107.1,903.5,-24.0
134,3M,Chemicals,Chemicals,"St. Paul, MN",85000,32681.0,-6995.0,-18.0
135,Visa,Business Services,Financial Data Services,"San Francisco, CA",28800,32653.0,17273.0,2.0
136,Apollo Global Management,Financials,Securities,"New York, NY",6855,32644.0,5047.0,220.0
137,HF Sinclair,Energy,Petroleum Refining,"Dallas, TX",5218,31964.4,1589.7,-30.0
138,CBRE Group,Financials,Real estate,"Dallas, TX",130000,31949.0,986.0,-3.0
139,PNC Financial Services Group,Financials,Commercial Banks,"Pittsburgh, PA",55612,31882.0,5578.0,29.0
140,Lithia Motors,Retailing,"Automotive Retailing, Services","Medford, OR",25051,31310.9,1000.8,5.0
141,CarMax,Retailing,"Automotive Retailing, Services","Richmond, VA",30621,31126.4,484.8,-17.0
142,Paramount Global,Media,Entertainment,"New York, NY",24150,30610.0,-608.0,-8.0
143,Dollar Tree,Retailing,Specialty Retailers: Other,"Chesapeake, VA",138860,30603.8,-998.4,1.0
144,United Natural Foods,Wholesalers,Wholesalers: Food and Grocery,"Providence, RI",29455,30272.0,24.0,-5.0
145,PayPal Holdings,Business Services,Financial Data Services,"San Jose, CA",27200,29771.0,4246.0,3.0
146,Penske Automotive Group,Retailing,"Automotive Retailing, Services","Bloomfield Hills, MI",28000,29527.4,1053.2,1.0
147,Hewlett Packard Enterprise,Technology,"Computers, Office Equipment","Spring, TX",62000,29135.0,2025.0,-4.0
148,Duke Energy,Energy,Utilities: Gas and Electric,"Charlotte, NC",27037,28932.0,2841.0,-7.0
149,Occidental Petroleum,Energy,"Mining, Crude-Oil Production","Houston, TX",12570,28918.0,4696.0,-39.0
150,NRG Energy,Energy,Energy,"Houston, TX",18131,28823.0,-202.0,-20.0
151,Amgen,Health Care,Pharmaceuticals,"Thousand Oaks, CA",26700,28190.0,6717.0,3.0
152,NextEra Energy,Energy,Utilities: Gas and Electric,"Juno Beach, FL",16800,28114.0,7310.0,35.0
153,Danaher,Health Care,Medical Products and Equipment,"Washington, Unknown",62000,27602.0,4764.0,-21.0
154,Gilead Sciences,Health Care,Pharmaceuticals,"Foster City, CA",18000,27116.0,5665.0,-4.0
155,AutoNation,Retailing,"Automotive Retailing, Services","Fort Lauderdale, FL",25300,26948.9,1021.1,-4.0
156,Kraft Heinz,"Food, Beverages & Tobacco",Food Consumer Products,"Chicago, IL",36000,26640.0,2855.0,-3.0
157,Avnet,Wholesalers,Wholesalers: Electronics and Office Equipment,"Phoenix, AZ",15800,26536.9,770.8,6.0
158,Applied Materials,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",34000,26517.0,6856.0,-3.0
159,Southwest Airlines,Transportation,Airlines,"Dallas, TX",74806,26091.0,465.0,6.0
160,Charles Schwab,Financials,Securities,"Westlake, TX",33000,25521.0,5067.0,15.0
161,Baker Hughes,Energy,"Oil and Gas Equipment, Services","Houston, TX",58000,25506.0,1943.0,24.0
162,McDonald's,"Hotels, Restaurants & Leisure",Food Services,"Chicago, IL",150000,25493.7,8468.8,7.0
163,Southern Company,Energy,Utilities: Gas and Electric,"Atlanta, GA",27960,25253.0,3976.0,-25.0
164,Mastercard,Business Services,Financial Data Services,"Purchase, NY",33400,25098.0,11195.0,13.0
165,Constellation Energy,Energy,Energy,"Baltimore, MD",13842,24918.0,1623.0,-3.0
166,Hartford Financial Services Group,Financials,Insurance: Property and Casualty (Stock),"Hartford, CT",18700,24527.0,2504.0,8.0
167,PG&E,Energy,Utilities: Gas and Electric,"Oakland, CA",28010,24428.0,2242.0,13.0
168,Coupang,Retailing,Internet Services and Retailing,"Seattle, WA",78000,24383.0,1360.0,27.0
169,EOG Resources,Energy,"Mining, Crude-Oil Production","Houston, TX",3050,24186.0,7594.0,-13.0
170,Union Pacific,Transportation,Railroads,"Omaha, NE",32973,24119.0,6379.0,-11.0
171,Rite Aid,Food & Drug Stores,Food & Drug Stores,"Philadelphia, PA",47000,24091.9,-749.9,-10.0
172,Macy's,Retailing,General Merchandisers,"New York, NY",85581,23866.0,105.0,-14.0
173,Marriott International,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Bethesda, MD",148000,23713.0,3083.0,19.0
174,Lear,Motor Vehicles & Parts,Motor Vehicles & Parts,"Southfield, MI",186600,23466.9,572.5,15.0
175,Genuine Parts,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",60000,23090.6,1316.5,4.0
176,Sherwin-Williams,Chemicals,Chemicals,"Cleveland, OH",64088,23051.9,2388.8,2.0
177,Halliburton,Energy,"Oil and Gas Equipment, Services","Houston, TX",48000,23018.0,2638.0,20.0
178,Freeport-McMoRan,Energy,"Mining, Crude-Oil Production","Phoenix, AZ",27200,22855.0,1848.0,-7.0
179,Live Nation Entertainment,Media,Entertainment,"Beverly Hills, CA",23200,22749.1,563.3,69.0
180,Marsh & McLennan,Financials,Diversified Financials,"New York, NY",85000,22736.0,3756.0,13.0
181,Advanced Micro Devices,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",26000,22680.0,854.0,-14.0
182,First Citizens BancShares,Financials,Commercial Banks,"Raleigh, NC",15868,22466.0,11466.0,420.0
183,WESCO International,Wholesalers,Wholesalers: Diversified,"Pittsburgh, PA",20000,22385.2,765.5,-2.0
184,Carrier Global,Industrials,Industrial Machinery,"Palm Beach Gardens, FL",53000,22098.0,1349.0,12.0
185,Cleveland-Cliffs,Materials,Metals,"Cleveland, OH",28000,21996.0,399.0,-15.0
186,Block,Business Services,Financial Data Services,"Oakland, CA",12985,21915.6,9.8,48.0
187,Exelon,Energy,Utilities: Gas and Electric,"Chicago, IL",19962,21727.0,2328.0,31.0
188,KKR,Financials,Securities,"New York, NY",4490,21685.3,3732.3,308.0
189,CDW,Technology,Information Technology Services,"Vernon Hills, IL",15100,21376.0,1104.3,-23.0
190,Booking Holdings,Technology,Internet Services and Retailing,"Norwalk, CT",23482,21365.0,4289.0,53.0
191,Synchrony,Financials,Diversified Financials,"Stamford, CT",20000,20999.0,2238.0,44.0
192,Quanta Services,Engineering & Construction,Engineering & Construction,"Houston, TX",52500,20882.2,744.7,52.0
193,Jones Lang LaSalle,Financials,Real estate,"Chicago, IL",106100,20760.8,225.4,-3.0
194,Discover Financial Services,Financials,Commercial Banks,"Riverwoods, IL",21100,20606.0,2940.0,79.0
195,Tenet Healthcare,Health Care,Health Care: Medical Facilities,"Dallas, TX",95905,20548.0,611.0,20.0
196,Altria Group,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",6400,20502.0,8130.0,-2.0
197,Stryker,Health Care,Medical Products and Equipment,"Portage, MI",52000,20498.0,3165.0,27.0
198,Kimberly-Clark,Household Products,Household and Personal Products,"Irving, TX",41000,20431.0,1764.0,1.0
199,Waste Management,Business Services,Waste Management,"Houston, TX",48000,20426.0,2304.0,5.0
200,Cheniere Energy,Energy,Pipelines,"Houston, TX",1605,20394.0,9881.0,-78.0
201,Ross Stores,Retailing,Specialty Retailers: Apparel,"Dublin, CA",108000,20376.9,1874.5,22.0
202,WestRock,Materials,"Packaging, Containers","Atlanta, GA",56100,20310.0,-1649.0,-19.0
203,General Mills,"Food, Beverages & Tobacco",Food Consumer Products,"Minneapolis, MN",34000,20094.2,2593.9,16.0
204,Goodyear Tire & Rubber,Motor Vehicles & Parts,Motor Vehicles & Parts,"Akron, OH",71000,20066.0,-689.0,-13.0
205,BJ's Wholesale Club,Retailing,General Merchandisers,"Marlborough, MA",34000,19968.7,523.7,5.0
206,GE HealthCare Technologies,Health Care,Medical Products and Equipment,"Chicago, IL",51000,19552.0,1568.0,0.0
207,Colgate-Palmolive,Household Products,Household and Personal Products,"New York, NY",34000,19457.0,2300.0,21.0
208,Whirlpool,Industrials,"Electronics, Electrical Equip.","Benton Harbor, MI",59000,19455.0,481.0,-5.0
209,L3Harris Technologies,Aerospace & Defense,Aerospace & Defense,"Melbourne, FL",50000,19419.0,1227.0,37.0
210,Adobe,Technology,Computer Software,"San Jose, CA",29945,19409.0,5428.0,23.0
211,Becton Dickinson,Health Care,Medical Products and Equipment,"Franklin Lakes, NJ",73000,19372.0,1484.0,-2.0
212,Pioneer Natural Resources,Energy,"Mining, Crude-Oil Production","Irving, TX",2213,19362.0,4894.0,-48.0
213,Cognizant Technology Solutions,Technology,Information Technology Services,"Teaneck, NJ",347700,19353.0,2126.0,-5.0
214,Murphy USA,Retailing,Specialty Retailers: Other,"El Dorado, AR",10750,19238.2,556.8,-32.0
215,Fiserv,Business Services,Financial Data Services,"Milwaukee, WI",42000,19093.0,3068.0,15.0
216,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, OH",62730,19065.2,2082.9,45.0
217,American Electric Power,Energy,Utilities: Gas and Electric,"Columbus, OH",17250,18982.3,2208.1,-12.0
218,International Paper,Materials,"Packaging, Containers","Memphis, TN",39000,18916.0,288.0,-34.0
219,ManpowerGroup,Business Services,Temporary Help,"Milwaukee, WI",27900,18914.5,88.8,-17.0
220,Aramark,Business Services,Diversified Outsourcing Services,"Philadelphia, PA",262550,18853.9,674.1,33.0
221,Steel Dynamics,Materials,Metals,"Fort Wayne, IN",12600,18795.3,2450.9,-45.0
222,Aflac,Financials,"Insurance: Life, Health (stock)","Columbus, GA",12785,18701.0,4659.0,-15.0
223,Reinsurance Group of America,Financials,"Insurance: Life, Health (stock)","Chesterfield, MO",3900,18567.0,902.0,34.0
224,Emerson Electric,Industrials,Industrial Machinery,"St. Louis, MO",67000,18370.0,13219.0,-18.0
225,State Street,Financials,Commercial Banks,"Boston, MA",46451,18366.0,1944.0,80.0
226,PPG Industries,Chemicals,Chemicals,"Pittsburgh, PA",53000,18246.0,1270.0,6.0
227,United States Steel,Materials,Metals,"Pittsburgh, PA",21803,18053.0,895.0,-41.0
228,Automatic Data Processing,Business Services,Diversified Outsourcing Services,"Roseland, NJ",63000,18012.2,3412.0,23.0
229,Group 1 Automotive,Retailing,"Automotive Retailing, Services","Houston, TX",16011,17873.7,601.6,23.0
230,Dominion Energy,Energy,Utilities: Gas and Electric,"Richmond, VA",17700,17867.0,1994.0,12.0
231,BlackRock,Financials,Securities,"New York, NY",19800,17859.0,5502.0,-2.0
232,Oneok,Energy,Pipelines,"Tulsa, OK",4775,17677.0,2659.0,-59.0
233,C.H. Robinson Worldwide,Transportation,Transportation and Logistics,"Eden Prairie, MN",15246,17596.4,325.1,-73.0
234,Texas Instruments,Technology,Semiconductors and Other Electronic Components,"Dallas, TX",34000,17519.0,6510.0,-34.0
235,Kohl's,Retailing,General Merchandisers,"Menomonee Falls, WI",66000,17476.0,317.0,-9.0
236,AutoZone,Retailing,Specialty Retailers: Other,"Memphis, TN",95200,17457.2,2528.4,22.0
237,Lam Research,Technology,Semiconductors and Other Electronic Components,"Fremont, CA",17200,17428.5,4510.9,3.0
238,Corteva,"Food, Beverages & Tobacco",Food Production,"Indianapolis, IN",22500,17226.0,735.0,0.0
239,Peter Kiewit Sons',Engineering & Construction,Engineering & Construction,"Omaha, NE",31100,17118.0,1176.0,68.0
240,Builders FirstSource,Materials,"Building Materials, Glass","Irving, TX",29000,17097.3,1540.6,-68.0
241,Kyndryl Holdings,Technology,Information Technology Services,"New York, NY",90000,17026.0,-1374.0,-16.0
242,EchoStar,Telecommunications,Telecommunications,"Englewood, CO",15300,17015.6,-1702.1,0.0
243,American Family Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Madison, WI",12417,16999.9,-891.0,58.0
244,Delek US Holdings,Energy,Petroleum Refining,"Brentwood, TN",3591,16917.4,19.8,-46.0
245,Land O'Lakes,"Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, MN",9000,16794.9,254.2,-32.0
246,Sempra,Energy,Utilities: Gas and Electric,"San Diego, CA",16835,16720.0,3074.0,39.0
247,Global Partners,Wholesalers,Wholesalers: Diversified,"Waltham, MA",4273,16492.2,152.5,-27.0
248,Grainger,Wholesalers,Wholesalers: Diversified,"Lake Forest, IL",24650,16478.0,1829.0,24.0
